headline_cpi,core_cpi,inf_expectation,gdp_change,year,quarter,potential_gdp,output_gap,unemployment
1.1,-4.1,1.5,5.7,1999,4,436612.73779401777,0.5680691357090807,5.8
0.8,3.7,2.3,4.9,2000,1,440240.4197256353,0.976643688701788,5.8
0.6,-3.1,2.4,2.8,2000,2,443834.3328016372,0.8991344074651311,5.5
0.8,4.8,2.2,2.4,2000,3,447389.3683262062,0.7373066745271054,5.3
1.0,-3.1,2.3,2.4,2000,4,450902.9117705242,0.5642208473407522,5.2
0.9,4.8,2.1,3.6,2001,1,454374.4102505694,0.7275035025867095,5.1
1.5,0.0,2.1,1.6,2001,2,457804.9009374637,0.39647873118428295,5.0
1.5,3.1,2.2,2.0,2001,3,461197.4869959223,0.1774755993162972,5.1
1.0,-1.0,1.9,1.2,2001,4,464556.40602757456,-0.24806589955970915,5.2
1.5,3.6,2.2,1.2,2002,1,467886.4072046774,-0.6814489918025417,5.2
0.9,0.5,2.3,2.0,2002,2,471191.5194457206,-0.9033523036933454,5.2
1.0,3.6,2.1,2.8,2002,3,474473.7789146912,-0.8845122957670858,5.3
1.5,-1.5,2.2,3.2,2002,4,477732.56145092275,-0.8024492697922507,5.1
1.5,3.6,2.5,2.8,2003,1,480964.619906927,-0.7500801010321956,5.2
1.3,-0.5,2.2,3.6,2003,2,484164.31115930877,-0.5395505408182009,4.9
1.4,3.0,2.2,3.6,2003,3,487323.73732223123,-0.27717453897348077,5.0
1.3,-1.5,2.6,3.2,2003,4,490433.3678153828,-0.07633408327218562,4.9
1.3,3.0,2.4,1.6,2004,1,493482.8278476256,-0.29764517927240414,4.8
1.4,-0.0,2.4,2.4,2004,2,496461.50864793744,-0.3298359730640614,4.8
1.3,2.0,2.3,1.6,2004,3,499357.8834278914,-0.5438751480697501,4.7
1.4,-0.0,2.3,2.0,2004,4,502159.40195615555,-0.6251803598471017,4.7
1.7,3.5,2.2,2.8,2005,1,504851.81657425594,-0.42583120505415295,4.7
2.0,2.0,2.0,3.2,2005,2,507418.9174974961,-0.10108363717019905,4.8
2.4,1.5,2.2,3.2,2005,3,509843.1513058206,0.2527931758773961,4.7
2.1,-1.4,2.2,3.6,2005,4,512106.6440057381,0.7475700694519835,5.1
1.9,3.4,2.7,2.0,2006,1,514192.3271341908,0.8367827831639908,5.2
2.3,0.0,2.5,1.6,2006,2,516085.5249506177,0.8201111724238532,5.5
2.4,3.9,2.5,1.2,2006,3,517774.2508849985,0.7736478027160979,5.5
2.7,-0.9,2.7,2.0,2006,4,519249.16366421897,1.0245247769375687,5.5
2.9,4.4,2.7,3.6,2007,1,520503.4256083618,1.7088407019112863,5.5
2.6,-0.0,2.7,2.8,2007,2,521533.5239352193,2.23446346782268,5.4
1.8,2.9,2.7,2.8,2007,3,522341.50497157854,2.816260030728724,5.3
2.1,-1.9,3.0,2.4,2007,4,522936.6984667673,3.312313246329459,5.2
2.4,4.8,3.3,2.0,2008,1,523337.62822950596,3.719658346821031,5.2
3.4,1.9,4.3,-2.0,2008,2,523573.6438819736,3.121691916507326,5.4
4.8,2.8,4.4,-5.9,2008,3,523686.2615287056,1.5147883483018534,5.9
3.9,-4.1,2.8,-8.1,2008,4,523727.2124968114,-0.6677545892906414,6.4
3.0,5.7,2.1,-7.8,2009,1,523753.1860749449,-2.693479762990174,7.1
2.1,2.8,2.4,-1.2,2009,2,523818.68579394906,-3.0181599516608317,7.8
1.5,3.2,2.4,0.4,2009,3,523969.3981933701,-2.9718144317320387,7.8
2.1,0.9,2.4,1.2,2009,4,524241.1287591332,-2.7376960661412397,7.8
3.3,5.5,2.5,3.6,2010,1,524659.9508532926,-1.9183760523217444,8.0
3.5,0.9,3.3,4.5,2010,2,525242.9677574276,-0.973828888993301,7.9
3.1,3.6,3.4,2.4,2010,3,526000.9921588346,-0.5376400807207282,7.8
3.4,2.2,3.9,0.4,2010,4,526941.6398899613,-0.6502883109933977,7.9
4.1,8.1,4.0,1.2,2011,1,528070.7592881566,-0.5900268540444665,7.8
4.4,-0.9,3.9,0.4,2011,2,529392.057040838,-0.7506831634482531,7.9
4.7,3.9,4.2,1.2,2011,3,530907.2924858676,-0.7295609875185,8.3
4.6,-0.4,4.1,0.4,2011,4,532615.7411754578,-0.9233187822433885,8.4
3.5,6.1,3.5,3.6,2012,1,534514.2578540172,-0.4142560879305747,8.2
2.8,-0.4,3.7,-0.4,2012,2,536596.6236777196,-0.91942875896341,8.0
2.4,5.6,3.2,4.1,2012,3,538855.2358915801,-0.3962540863219401,7.9
2.7,-2.1,3.5,-0.4,2012,4,541279.4082258154,-0.9406247768604045,7.8
2.8,4.7,3.6,1.2,2013,1,543857.1198882096,-1.0817399778491275,7.9
2.7,0.0,3.6,2.8,2013,2,546573.1679564058,-0.9124428802556142,7.8
2.7,4.6,3.2,3.2,2013,3,549408.6725581165,-0.6087768040761486,7.6
2.1,-2.8,3.6,2.8,2013,4,552341.6368410815,-0.47663197294666465,7.2
1.7,6.7,2.8,3.2,2014,1,555347.9735326915,-0.20977361730174807,6.8
1.7,-0.8,2.6,3.6,2014,2,558401.9499623112,0.16637657475077117,6.3
1.5,3.3,2.8,3.2,2014,3,561477.1053508476,0.39483259923254577,6.0
0.9,-3.2,2.5,2.8,2014,4,564547.5595754815,0.5440534411003656,5.7
0.1,3.7,1.9,1.2,2015,1,567588.8180725492,0.2750550887792976,5.6
0.0,0.8,2.2,2.4,2015,2,570578.3059286522,0.36711772066738124,5.6
0.0,3.2,2.0,1.6,2015,3,573494.4239690967,0.2339300915287635,5.4
0.1,-2.8,2.0,2.4,2015,4,576316.8822029838,0.30384634757227313,5.1
0.3,3.6,1.8,1.6,2016,1,579026.2291244334,0.18717129225828827,5.1
0.4,1.2,2.0,2.4,2016,2,581604.1076761886,0.30585965613603106,5.0
0.7,2.8,2.2,1.6,2016,3,584032.8381577897,0.3121676938511061,4.9
1.2,-1.2,2.8,2.4,2016,4,586295.8526764789,0.5424134093740398,4.8
2.1,7.3,2.9,3.2,2017,1,588377.7228156505,1.0274483465179698,4.6
2.7,1.2,2.8,2.4,2017,2,590265.0077507757,1.3402441522612754,4.5
2.8,3.5,2.8,2.4,2017,3,591948.0449555656,1.6915259928235806,4.3
3.0,-1.1,2.9,2.8,2017,4,593422.1162738878,2.1862824741982205,4.4
2.7,4.7,2.9,0.4,2018,1,594688.761646512,2.0340452239247364,4.3
2.4,0.4,2.9,0.8,2018,2,595757.6296915367,2.0171576005976686,4.1
2.5,3.5,3.0,1.2,2018,3,596645.9291760314,2.1800317722659064,4.2
2.3,-0.7,3.2,0.4,2018,4,597378.3797235081,2.193353613258702,4.1
1.9,4.2,3.2,2.8,2019,1,597987.8303767436,2.834199754964706,3.9
2.0,1.1,3.1,1.2,2019,2,598515.3193161874,3.0638615407143903,4.0
1.8,2.6,3.3,2.8,2019,3,599012.4773283037,3.7085241981564003,3.9
1.4,-1.5,3.1,0.0,2019,4,599542.3962499842,3.617192693237566,3.9
1.7,3.4,3.0,-10.4,2020,1,600182.0519947899,0.7559286370078804,4.1
0.6,3.0,2.9,-59.7,2020,2,601021.9746036262,-19.841699578833783,4.2
0.6,0.7,2.8,86.1,2020,3,602155.5297099012,-6.561017504719192,5.0
0.5,-1.1,2.7,5.7,2020,4,603601.5498378957,-5.5108456641353865,5.3
0.6,2.6,2.7,-3.9,2021,1,605354.1753058224,-6.7635075425288145,5.1
2.1,5.2,2.4,32.6,2021,2,607386.7567132451,-0.3348371841773999,4.8
2.8,7.4,2.7,7.0,2021,3,609647.0551751613,0.9533294347118264,4.4
4.9,2.5,3.2,6.1,2021,4,612081.5607086228,2.043917035646939,4.2
6.2,9.8,4.3,2.8,2022,1,614640.3957961963,2.3605028733930613,3.9
9.2,5.2,4.6,1.2,2022,2,617281.5019450061,2.2642016666553366,3.9
10.0,8.3,4.9,0.4,2022,3,619971.8885398033,1.9363960982927566,3.8
10.7,0.0,4.8,1.2,2022,4,622687.3002766236,1.8238206750533226,3.9
10.2,14.3,3.9,0.4,2023,1,625410.9850461645,1.471194970001422,4.0
8.4,5.2,3.5,0.0,2023,2,628133.2886764508,1.0333334406182855,4.2
6.7,3.8,3.6,-0.4,2023,3,630850.3076298537,0.49230258471531413,4.1
4.2,-0.9,3.3,-1.2,2023,4,633562.1950633219,-0.27419487413516297,3.8
