,year,quarter,spec2_pred
4,2000,4,0.8250000000000001
5,2001,1,0.8
6,2001,2,0.8250000000000001
7,2001,3,1.05
8,2001,4,1.225
9,2002,1,1.225
10,2002,2,1.375
11,2002,3,1.2249999999999999
12,2002,4,1.1
13,2003,1,1.225
14,2003,2,1.225
15,2003,3,1.325
16,2003,4,1.4249999999999998
17,2004,1,1.375
18,2004,2,1.325
19,2004,3,1.3499999999999999
20,2004,4,1.3250000000000002
21,2005,1,1.3499999999999999
22,2005,2,1.45
23,2005,3,1.6
24,2005,4,1.8749999999999998
25,2006,1,2.05
26,2006,2,2.0999999999999996
27,2006,3,2.175
28,2006,4,2.175
29,2007,1,2.325
30,2007,2,2.575
31,2007,3,2.65
32,2007,4,2.5
33,2008,1,2.3499999999999996
34,2008,2,2.225
35,2008,3,2.425
36,2008,4,3.175
37,2009,1,3.625
38,2009,2,3.775
39,2009,3,3.4499999999999997
40,2009,4,2.625
41,2010,1,2.175
42,2010,2,2.25
43,2010,3,2.6
44,2010,4,3.0
45,2011,1,3.325
46,2011,2,3.525
47,2011,3,3.75
48,2011,4,4.15
49,2012,1,4.45
50,2012,2,4.3
51,2012,3,3.9
52,2012,4,3.3249999999999997
53,2013,1,2.8499999999999996
54,2013,2,2.675
55,2013,3,2.65
56,2013,4,2.725
57,2014,1,2.575
58,2014,2,2.3
59,2014,3,2.0500000000000003
60,2014,4,1.75
61,2015,1,1.45
62,2015,2,1.05
63,2015,3,0.625
64,2015,4,0.25
65,2016,1,0.05
66,2016,2,0.1
67,2016,3,0.2
68,2016,4,0.375
69,2017,1,0.6499999999999999
70,2017,2,1.1
71,2017,3,1.675
72,2017,4,2.2
73,2018,1,2.6500000000000004
74,2018,2,2.8
75,2018,3,2.725
76,2018,4,2.6500000000000004
77,2019,1,2.475
78,2019,2,2.275
79,2019,3,2.175
80,2019,4,1.9999999999999998
81,2020,1,1.775
82,2020,2,1.725
83,2020,3,1.375
84,2020,4,1.075
85,2021,1,0.8499999999999999
86,2021,2,0.575
87,2021,3,0.95
88,2021,4,1.5
89,2022,1,2.6
90,2022,2,4.0
91,2022,3,5.7749999999999995
92,2022,4,7.574999999999999
93,2023,1,9.024999999999999
94,2023,2,10.024999999999999
95,2023,3,9.825
96,2023,4,9.0
