,year,quarter,spec5_pred,spec6_pred,spec7_pred
4,2000,4,0.3971194411515696,0.5865009269171085,0.7235328975161466
5,2001,1,-0.061327198063714006,0.12837762849775067,0.18950381737597888
6,2001,2,0.25428700657146414,0.6338240016509389,0.6148183785780188
7,2001,3,0.3210708790704798,0.06982589149416411,0.363876707073687
8,2001,4,-0.5649974960858448,-0.3486896603708152,-0.3757627960735157
9,2002,1,0.4938317556478912,0.5867806227109937,0.6503255717478713
10,2002,2,0.523555269049758,-0.05511413272284485,0.32658108510049644
11,2002,3,0.09008654322790038,0.4545642827418343,0.2981661606808168
12,2002,4,1.2385740460960424,0.8006169042413499,1.045724550972964
13,2003,1,0.5200863878438469,0.31179966074067356,0.41824652816803964
14,2003,2,-0.07133909502815142,-0.11979390784093155,-0.1720646860067394
15,2003,3,0.3798138323051837,0.32464144248738436,0.4251677373221028
16,2003,4,0.4305654335794836,0.3540168554944601,0.5229565464299406
17,2004,1,0.1891813702092665,0.37987117216370203,0.4542180542251918
18,2004,2,0.46007009544162364,0.3701582290690056,0.6052189066236495
19,2004,3,0.298551648966767,0.23614742739696698,0.4288985500339286
20,2004,4,0.3597288687133988,0.32822976138014937,0.5073011303953663
21,2005,1,0.6909000565359608,0.4924681085151427,0.7413697857993229
22,2005,2,0.5380528793655769,0.4128209610983973,0.5976212217782415
23,2005,3,0.3491686508669581,0.3256677878078903,0.4222323367208898
24,2005,4,-0.1825369639995453,-0.26509568264355793,-0.09261678067718937
25,2006,1,-0.4558266089154109,-0.0034718286707551005,-0.07181362438458772
26,2006,2,0.4482974417123814,0.6717982209124419,0.8343039428417784
27,2006,3,0.3496732114968434,0.4215341757793619,0.579851755455155
28,2006,4,-0.03416290269561936,0.29284663902042085,0.24306806301644435
29,2007,1,0.06030331667608696,0.15187993841094583,0.22174024417776406
30,2007,2,-0.5847104739768487,-0.12018801206135346,-0.17252901889403938
31,2007,3,-1.070383955340702,-0.3476111117108376,-0.36809768926801834
32,2007,4,-0.2286110651476585,0.8922834287914366,0.9072587037721853
33,2008,1,0.26760136436343396,0.9456622462418246,1.2871300185815708
34,2008,2,-0.20004188902027753,0.9965869183230431,0.9844557055752581
35,2008,3,0.26006912047993347,0.5485278439034482,0.7779369985603966
36,2008,4,-1.2396930788748992,-1.7184538030999041,-1.4956527068357954
37,2009,1,-1.459698728071756,-1.4811153862099573,-1.7247558264596377
38,2009,2,0.7987498176128168,-0.36687187548758005,-0.09323057395850043
39,2009,3,1.2416350221843808,0.8254271888029747,0.596445128539494
40,2009,4,2.0463584743333856,1.6293682657596984,1.3378297000563448
41,2010,1,2.361092560255867,1.5248534346145965,1.2784590041315795
42,2010,2,0.6861876450621633,-0.03144508805939189,-0.6010667751150395
43,2010,3,-0.6745199354530883,-0.802638759417795,-1.6298182920520292
44,2010,4,0.2643443089026417,0.15459882796764635,-0.3851787698991185
45,2011,1,1.210711002436007,0.7795025380175633,0.5079536227095873
46,2011,2,0.5247220395692498,0.21365501341639165,-0.21391776225820314
47,2011,3,0.13429719605241183,-0.12430887225471533,-0.6893918852707672
48,2011,4,0.15212093465479676,-0.29243754380202697,-0.8215481406939915
49,2012,1,-0.4769491552216215,-0.7644348296263823,-1.3231212936428238
50,2012,2,-0.2374691782140173,0.17569801382706285,-0.51231024274293
51,2012,3,0.9537327132244193,0.7774637903416972,0.5929710345669814
52,2012,4,1.0843821264806168,1.4423511606093937,0.974330699006702
53,2013,1,0.9718775864169913,0.6194190860995471,0.3829993355708352
54,2013,2,0.28678955102918935,0.12939811348047514,-0.39508969987134357
55,2013,3,0.3704253200561264,0.20371547113581878,-0.30310692198621103
56,2013,4,0.09746888258839936,-0.06559794160196136,-0.45458600545509364
57,2014,1,0.015396884913576159,0.2695965147257985,-0.15889095403586717
58,2014,2,0.6887173070411423,0.7891498163363881,0.6217851471396274
59,2014,3,0.42980688956253216,0.6178832748660172,0.5287865065369486
60,2014,4,-0.2414327043239851,0.10845286544543845,-0.021697555649850875
61,2015,1,-0.3582698747921851,0.06266475445283906,0.03291923990213408
62,2015,2,0.4386613467045696,0.8434130051302898,0.9369111358826194
63,2015,3,0.791607802920735,0.9630986001433364,1.156789324530048
64,2015,4,0.38740316844825984,0.6614263140371214,0.7279414014208949
65,2016,1,0.32361553908714613,0.4474830975722138,0.5633938350086565
66,2016,2,0.22554800557151605,0.22946776456460963,0.36968395379797103
67,2016,3,0.21880230068660544,0.3459898260138879,0.43063252597822155
68,2016,4,0.4506287399944444,0.41360175142239985,0.6037496708020611
69,2017,1,0.535935469087177,0.5833723770206374,0.7180520687170209
70,2017,2,0.12678796871510717,0.09709574601023371,0.2722063162884918
71,2017,3,-0.6485516150934395,-0.4641993194647334,-0.36959686341573883
72,2017,4,-0.5701186881966157,-0.19778486948606178,-0.03813790008734608
73,2018,1,-0.5925975281752397,-0.20347155751100632,0.08722812262004553
74,2018,2,-0.6866594870616657,-0.01669934325498092,0.2527717767669725
75,2018,3,-0.0534487624526237,0.5150891626429439,0.9434630196843489
76,2018,4,-0.17444828438438859,0.34822653107486035,0.7931216737521478
77,2019,1,-0.6670168539614882,0.06299337687916645,0.40544519259146417
78,2019,2,-0.35424629981757494,0.5984673132162072,0.9491243300630994
79,2019,3,-0.33547238860801554,0.3694695374458721,0.8901695236084181
80,2019,4,-1.0544009482524856,0.1813970870380926,0.4759177933826024
81,2020,1,-0.43145576889616455,0.6389770721249723,1.0814154294065013
82,2020,2,-0.2671693404615407,-0.7462416540569781,0.23863777218727633
83,2020,3,5.012047601349994,-1.5883886371410516,0.6691141044725647
84,2020,4,2.715491414938203,3.72994856948848,1.197263167660641
85,2021,1,1.810556706820907,0.8848162216204596,0.7679789733146303
86,2021,2,3.057764121009049,1.1586574603178137,1.4777062545701232
87,2021,3,0.9928787495126429,1.367891188355745,0.631441534277342
88,2021,4,0.30867633193380767,0.884511333514889,0.5749622173459887
89,2022,1,0.28988153840540976,-0.1964396655381993,0.11236132351217565
90,2022,2,0.12202578840143885,0.6546078337472252,0.5114551152246831
91,2022,3,-0.4186348950578853,-1.5364334615745694,-0.9721730745834202
92,2022,4,-2.051526311691271,-1.5637034314633123,-1.8087665342325538
